id;abreviacion;descripcion;valor_conversion
1;system Gorgeous Rubber Pants;hack;1439
2;Wooden Ergonomic Steel Gloves;Developer Shoes Music;76336
3;online e-business;systems integrate;61585
4;invoice Gorgeous Cotton Chair Personal Loan Account;Cambridgeshire Norfolk Island;68396
5;Checking Account;invoice Outdoors New York;94023
6;North Dakota incubate deposit;haptic parsing;62593
7;parsing invoice;black;6936
8;Fantastic;Ergonomic Rubber Chicken;33655
9;withdrawal;quantifying Garden;81446
10;hybrid;Solomon Islands Dollar;34833
